"","geoid","year","measure","value","moe"
"307","51139030401",2021,"incarceration_rate_per_100000",1720,NA
"308","51510200704",2021,"incarceration_rate_per_100000",248,NA
"309","51810045605",2021,"incarceration_rate_per_100000",252,NA
"310","51087201206",2021,"incarceration_rate_per_100000",1485,NA
"311","51059482507",2021,"incarceration_rate_per_100000",160,NA
"312","51059452200",2021,"incarceration_rate_per_100000",844,NA
"313","51059481202",2021,"incarceration_rate_per_100000",483,NA
"314","51183870300",2021,"incarceration_rate_per_100000",1545,NA
"315","51510200305",2021,"incarceration_rate_per_100000",409,NA
"316","51131930100",2021,"incarceration_rate_per_100000",1152,NA
"317","51087201204",2021,"incarceration_rate_per_100000",1207,NA
"318","51650010701",2021,"incarceration_rate_per_100000",1047,NA
"319","51700032124",2021,"incarceration_rate_per_100000",778,NA
"320","51800075504",2021,"incarceration_rate_per_100000",1127,NA
"321","51059450200",2021,"incarceration_rate_per_100000",946,NA
"322","51013103800",2021,"incarceration_rate_per_100000",220,NA
"323","51610500300",2021,"incarceration_rate_per_100000",349,NA
"324","51630000201",2021,"incarceration_rate_per_100000",565,NA
"325","51770001100",2021,"incarceration_rate_per_100000",659,NA
"326","51059415300",2021,"incarceration_rate_per_100000",589,NA
"327","51700030500",2021,"incarceration_rate_per_100000",1519,NA
"328","51510200302",2021,"incarceration_rate_per_100000",828,NA
"329","51059416000",2021,"incarceration_rate_per_100000",567,NA
"330","51690000200",2021,"incarceration_rate_per_100000",1572,NA
"331","51107611018",2021,"incarceration_rate_per_100000",772,NA
"332","51059452502",2021,"incarceration_rate_per_100000",841,NA
"333","51710006100",2021,"incarceration_rate_per_100000",964,NA
"334","51005070100",2021,"incarceration_rate_per_100000",1473,NA
"335","51710000901",2021,"incarceration_rate_per_100000",687,NA
"336","51810044807",2021,"incarceration_rate_per_100000",744,NA
"337","51810046221",2021,"incarceration_rate_per_100000",714,NA
"338","51540000600",2021,"incarceration_rate_per_100000",659,NA
"339","51013101405",2021,"incarceration_rate_per_100000",0,NA
"340","51137110301",2021,"incarceration_rate_per_100000",1163,NA
"341","51550021405",2021,"incarceration_rate_per_100000",991,NA
"342","51059481104",2021,"incarceration_rate_per_100000",0,NA
"343","51810044202",2021,"incarceration_rate_per_100000",718,NA
"344","51059431601",2021,"incarceration_rate_per_100000",1399,NA
"345","51153901203",2021,"incarceration_rate_per_100000",696,NA
"346","51161030207",2021,"incarceration_rate_per_100000",1173,NA
"347","51550021602",2021,"incarceration_rate_per_100000",625,NA
"348","51057950700",2021,"incarceration_rate_per_100000",1307,NA
"349","51700031300",2021,"incarceration_rate_per_100000",1201,NA
"350","51083930800",2021,"incarceration_rate_per_100000",1231,NA
"351","51760030502",2021,"incarceration_rate_per_100000",420,NA
"352","51059490101",2021,"incarceration_rate_per_100000",479,NA
"353","51810040403",2021,"incarceration_rate_per_100000",725,NA
"354","51840000302",2021,"incarceration_rate_per_100000",900,NA
"355","51760070901",2021,"incarceration_rate_per_100000",1619,NA
"356","51660000204",2021,"incarceration_rate_per_100000",893,NA
"357","51760040500",2021,"incarceration_rate_per_100000",696,NA
"358","51013102500",2021,"incarceration_rate_per_100000",131,NA
"359","51087200807",2021,"incarceration_rate_per_100000",1322,NA
"360","51153901014",2021,"incarceration_rate_per_100000",637,NA
"361","51089010500",2021,"incarceration_rate_per_100000",1573,NA
"362","51550020400",2021,"incarceration_rate_per_100000",1325,NA
"363","51109950201",2021,"incarceration_rate_per_100000",1157,NA
"364","51069051102",2021,"incarceration_rate_per_100000",1137,NA
"365","51750010102",2021,"incarceration_rate_per_100000",752,NA
"366","51059461606",2021,"incarceration_rate_per_100000",427,NA
"367","51760020300",2021,"incarceration_rate_per_100000",1080,NA
"368","51700032226",2021,"incarceration_rate_per_100000",777,NA
"369","51810045809",2021,"incarceration_rate_per_100000",528,NA
"370","51760041400",2021,"incarceration_rate_per_100000",935,NA
"371","51810044805",2021,"incarceration_rate_per_100000",520,NA
"372","51195931100",2021,"incarceration_rate_per_100000",1994,NA
"373","51810040405",2021,"incarceration_rate_per_100000",680,NA
"374","51710003600",2021,"incarceration_rate_per_100000",400,NA
"375","51770000300",2021,"incarceration_rate_per_100000",774,NA
"376","51121020401",2021,"incarceration_rate_per_100000",761,NA
"377","51041100920",2021,"incarceration_rate_per_100000",573,NA
"378","51013101703",2021,"incarceration_rate_per_100000",175,NA
"379","51087200144",2021,"incarceration_rate_per_100000",0,NA
"380","51840000102",2021,"incarceration_rate_per_100000",951,NA
"381","51191010502",2021,"incarceration_rate_per_100000",1387,NA
"382","51013101501",2021,"incarceration_rate_per_100000",0,NA
"383","51095080102",2021,"incarceration_rate_per_100000",1228,NA
"384","51740212300",2021,"incarceration_rate_per_100000",1043,NA
"385","51700031200",2021,"incarceration_rate_per_100000",1025,NA
"386","51059430600",2021,"incarceration_rate_per_100000",890,NA
"387","51760071100",2021,"incarceration_rate_per_100000",681,NA
"388","51550020907",2021,"incarceration_rate_per_100000",790,NA
"389","51810044806",2021,"incarceration_rate_per_100000",820,NA
"390","51041100210",2021,"incarceration_rate_per_100000",804,NA
"391","51700032129",2021,"incarceration_rate_per_100000",511,NA
"392","51700031400",2021,"incarceration_rate_per_100000",947,NA
"393","51710006901",2021,"incarceration_rate_per_100000",628,NA
"394","51153900410",2021,"incarceration_rate_per_100000",692,NA
"395","51740210200",2021,"incarceration_rate_per_100000",1052,NA
"396","51019050101",2021,"incarceration_rate_per_100000",1077,NA
"397","51700032225",2021,"incarceration_rate_per_100000",1063,NA
"398","51683910302",2021,"incarceration_rate_per_100000",842,NA
"399","51750010202",2021,"incarceration_rate_per_100000",1300,NA
"400","51095080205",2021,"incarceration_rate_per_100000",708,NA
"401","51740211400",2021,"incarceration_rate_per_100000",1685,NA
"402","51165010500",2021,"incarceration_rate_per_100000",1635,NA
"403","51087200806",2021,"incarceration_rate_per_100000",925,NA
"404","51001090401",2021,"incarceration_rate_per_100000",1182,NA
"405","51053840500",2021,"incarceration_rate_per_100000",1301,NA
"406","51059491704",2021,"incarceration_rate_per_100000",175,NA
"407","51810044004",2021,"incarceration_rate_per_100000",914,NA
"408","51067020801",2021,"incarceration_rate_per_100000",1194,NA
"409","51810043200",2021,"incarceration_rate_per_100000",768,NA
"410","51125950102",2021,"incarceration_rate_per_100000",1608,NA
"411","51107611501",2021,"incarceration_rate_per_100000",514,NA
"412","51680000300",2021,"incarceration_rate_per_100000",919,NA
"413","51680000901",2021,"incarceration_rate_per_100000",1145,NA
"414","51760070602",2021,"incarceration_rate_per_100000",1198,NA
"415","51143011301",2021,"incarceration_rate_per_100000",1016,NA
"416","51177020110",2021,"incarceration_rate_per_100000",749,NA
"417","51630000302",2021,"incarceration_rate_per_100000",578,NA
"418","51087200106",2021,"incarceration_rate_per_100000",966,NA
"419","51087200139",2021,"incarceration_rate_per_100000",504,NA
"420","51153901407",2021,"incarceration_rate_per_100000",837,NA
"421","51710001200",2021,"incarceration_rate_per_100000",1049,NA
"422","51680000902",2021,"incarceration_rate_per_100000",770,NA
"423","51177020108",2021,"incarceration_rate_per_100000",874,NA
"424","51590000800",2021,"incarceration_rate_per_100000",1109,NA
"425","51670820500",2021,"incarceration_rate_per_100000",1303,NA
"426","51810045603",2021,"incarceration_rate_per_100000",302,NA
"427","51087200126",2021,"incarceration_rate_per_100000",316,NA
"428","51059450100",2021,"incarceration_rate_per_100000",667,NA
"429","51147930204",2021,"incarceration_rate_per_100000",1437,NA
"430","51650010702",2021,"incarceration_rate_per_100000",686,NA
"431","51775010100",2021,"incarceration_rate_per_100000",901,NA
"432","51013103501",2021,"incarceration_rate_per_100000",46,NA
"433","51710006604",2021,"incarceration_rate_per_100000",749,NA
"434","51059471201",2021,"incarceration_rate_per_100000",59,NA
"435","51059482302",2021,"incarceration_rate_per_100000",272,NA
"436","51121020801",2021,"incarceration_rate_per_100000",1376,NA
"437","51059450602",2021,"incarceration_rate_per_100000",739,NA
"438","51013103404",2021,"incarceration_rate_per_100000",155,NA
"439","51059482204",2021,"incarceration_rate_per_100000",108,NA
"440","51121020402",2021,"incarceration_rate_per_100000",823,NA
"441","51740213200",2021,"incarceration_rate_per_100000",787,NA
"442","51153901015",2021,"incarceration_rate_per_100000",909,NA
"443","51685920202",2021,"incarceration_rate_per_100000",563,NA
"444","51153901418",2021,"incarceration_rate_per_100000",673,NA
"445","51730810900",2021,"incarceration_rate_per_100000",1361,NA
"446","51710003700",2021,"incarceration_rate_per_100000",531,NA
"447","51199050208",2021,"incarceration_rate_per_100000",238,NA
"448","51031020700",2021,"incarceration_rate_per_100000",1329,NA
"449","51059480903",2021,"incarceration_rate_per_100000",419,NA
"450","51630000500",2021,"incarceration_rate_per_100000",569,NA
"451","51195930700",2021,"incarceration_rate_per_100000",1739,NA
"452","51015070602",2021,"incarceration_rate_per_100000",1275,NA
"453","51179010306",2021,"incarceration_rate_per_100000",732,NA
"454","51680001400",2021,"incarceration_rate_per_100000",910,NA
"455","51740213101",2021,"incarceration_rate_per_100000",1130,NA
"456","51710000100",2021,"incarceration_rate_per_100000",865,NA
