,property_title,url,address,listing_class,plan_name,bedrooms,bathrooms,unit,price,size_sqft
59,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B2,2,2,227,3143.0,1218.0
60,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B2,2,2,466,3213.0,1218.0
61,Preserve at Westfields,https://www.apartments.com/preserve-at-westfields-chantilly-va/32w7l0d/,"4950 Westcroft Blvd, Chantilly, VA 20151","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C2,3,2,413,3815.0,1436.0
62,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A,0,1,Main-520,1980.0,526.0
63,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A,0,1,Main-523,1980.0,526.0
64,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",A,0,1,Main-530,1980.0,526.0
65,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B,1,1,Main-202,2335.0,735.0
66,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B,1,1,Main-102,2381.0,735.0
67,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",B,1,1,Main-105,2381.0,735.0
68,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C,1,1,Main-200,2321.0,794.0
69,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C,1,1,Main-100,2367.0,794.0
70,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",C,1,1,Main-107,2367.0,794.0
71,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",E,1,1,Main-170,2556.0,775.0
72,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",E,1,1,Main-172,2556.0,775.0
73,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",E,1,1,Main-138,2579.0,775.0
74,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",F,1,1,Main-274,2545.0,799.0
75,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",F,1,1,Main-474,2592.0,799.0
