geoid,region_type,region_name,year,measure,value,measure_type
51121,county,"Montgomery County, Virginia",2015,vac_bus_adr,231,count
51125,county,"Nelson County, Virginia",2015,vac_bus_adr,1,count
51127,county,"New Kent County, Virginia",2015,vac_bus_adr,0,count
51131,county,"Northampton County, Virginia",2015,vac_bus_adr,23,count
51133,county,"Northumberland County, Virginia",2015,vac_bus_adr,0,count
51135,county,"Nottoway County, Virginia",2015,vac_bus_adr,25,count
51137,county,"Orange County, Virginia",2015,vac_bus_adr,62,count
51139,county,"Page County, Virginia",2015,vac_bus_adr,27,count
51141,county,"Patrick County, Virginia",2015,vac_bus_adr,2,count
51143,county,"Pittsylvania County, Virginia",2015,vac_bus_adr,36,count
51145,county,"Powhatan County, Virginia",2015,vac_bus_adr,1,count
51147,county,"Prince Edward County, Virginia",2015,vac_bus_adr,50,count
51149,county,"Prince George County, Virginia",2015,vac_bus_adr,5,count
51153,county,"Prince William County, Virginia",2015,vac_bus_adr,453,count
51155,county,"Pulaski County, Virginia",2015,vac_bus_adr,103,count
51157,county,"Rappahannock County, Virginia",2015,vac_bus_adr,0,count
51159,county,"Richmond County, Virginia",2015,vac_bus_adr,0,count
51161,county,"Roanoke County, Virginia",2015,vac_bus_adr,328,count
51163,county,"Rockbridge County, Virginia",2015,vac_bus_adr,1,count
51165,county,"Rockingham County, Virginia",2015,vac_bus_adr,39,count
51167,county,"Russell County, Virginia",2015,vac_bus_adr,2,count
51169,county,"Scott County, Virginia",2015,vac_bus_adr,0,count
51171,county,"Shenandoah County, Virginia",2015,vac_bus_adr,58,count
51173,county,"Smyth County, Virginia",2015,vac_bus_adr,61,count
51175,county,"Southampton County, Virginia",2015,vac_bus_adr,0,count
51177,county,"Spotsylvania County, Virginia",2015,vac_bus_adr,281,count
51179,county,"Stafford County, Virginia",2015,vac_bus_adr,104,count
51181,county,"Surry County, Virginia",2015,vac_bus_adr,2,count
51183,county,"Sussex County, Virginia",2015,vac_bus_adr,0,count
51185,county,"Tazewell County, Virginia",2015,vac_bus_adr,227,count
51187,county,"Warren County, Virginia",2015,vac_bus_adr,141,count
51191,county,"Washington County, Virginia",2015,vac_bus_adr,79,count
51193,county,"Westmoreland County, Virginia",2015,vac_bus_adr,30,count
51195,county,"Wise County, Virginia",2015,vac_bus_adr,25,count
51197,county,"Wythe County, Virginia",2015,vac_bus_adr,128,count
51199,county,"York County, Virginia",2015,vac_bus_adr,86,count
51510,county,"Alexandria city, Virginia",2015,vac_bus_adr,379,count
51520,county,"Bristol city, Virginia",2015,vac_bus_adr,222,count
51530,county,"Buena Vista city, Virginia",2015,vac_bus_adr,38,count
51540,county,"Charlottesville city, Virginia",2015,vac_bus_adr,443,count
51550,county,"Chesapeake city, Virginia",2015,vac_bus_adr,501,count
51570,county,"Colonial Heights city, Virginia",2015,vac_bus_adr,84,count
51580,county,"Covington city, Virginia",2015,vac_bus_adr,99,count
51590,county,"Danville city, Virginia",2015,vac_bus_adr,608,count
51595,county,"Emporia city, Virginia",2015,vac_bus_adr,93,count
51600,county,"Fairfax city, Virginia",2015,vac_bus_adr,175,count
51610,county,"Falls Church city, Virginia",2015,vac_bus_adr,136,count
51620,county,"Franklin city, Virginia",2015,vac_bus_adr,44,count
51630,county,"Fredericksburg city, Virginia",2015,vac_bus_adr,435,count
51640,county,"Galax city, Virginia",2015,vac_bus_adr,48,count
51650,county,"Hampton city, Virginia",2015,vac_bus_adr,408,count
51660,county,"Harrisonburg city, Virginia",2015,vac_bus_adr,143,count
51670,county,"Hopewell city, Virginia",2015,vac_bus_adr,133,count
51678,county,"Lexington city, Virginia",2015,vac_bus_adr,52,count
51680,county,"Lynchburg city, Virginia",2015,vac_bus_adr,386,count
51683,county,"Manassas city, Virginia",2015,vac_bus_adr,132,count
51685,county,"Manassas Park city, Virginia",2015,vac_bus_adr,83,count
51690,county,"Martinsville city, Virginia",2015,vac_bus_adr,206,count
51700,county,"Newport News city, Virginia",2015,vac_bus_adr,471,count
51710,county,"Norfolk city, Virginia",2015,vac_bus_adr,808,count
