"PUMA","age","rank","grouped_OCCP_label_female","grouped_OCCP_label_male","n_female","n_male","n_se_female","n_se_male"
"59307","30 to 49",3,"Office and Administrative Support","Business Operations",2268,1548,252.322511877161,189.562654549888
"59307","30 to 49",4,"Educational Instruction and Library","Office and Administrative Support",2248,1333,234.388459613523,219.382314692867
"59307","30 to 49",5,"Business Operations","Sales and Related",1520,1206,204.566981695483,144.016318519812
"59307","over 50",1,"Management","Management",3100,4804,251.892139615352,310.558529105224
"59307","over 50",2,"Office and Administrative Support","Computer and Mathematical",2938,3550,248.280889316919,260.593936997774
"59307","over 50",3,"Educational Instruction and Library","Business Operations",2665,1635,309.844073688686,281.353247715394
"59307","over 50",4,"Computer and Mathematical","Sales and Related",1526,1407,203.197440928768,138.60284989855
"59307","over 50",5,"Business Operations","Transportation and Material Moving",1499,1318,266.684176508469,199.085157658727
"59308","16 to 29",1,"Computer and Mathematical","Computer and Mathematical",869,1452,162.490307403242,172.915586342007
"59308","16 to 29",2,"Office and Administrative Support","Sales and Related",725,757,145.506872689918,125.418698765375
"59308","16 to 29",3,"Food Preparation and Serving Related","Management",689,686,150.188881079792,120.766924279788
"59308","16 to 29",4,"Educational Instruction and Library","Food Preparation and Serving Related",659,530,165.48292963324,120.014374139101
"59308","16 to 29",5,"Sales and Related","Office and Administrative Support",619,522,120.807698430191,135.850653292504
"59308","30 to 49",1,"Management","Management",2933,3419,241.090232070899,298.684616276098
"59308","30 to 49",2,"Educational Instruction and Library","Computer and Mathematical",1474,2821,202.924246949447,226.080516630691
"59308","30 to 49",3,"Business Operations","Business Operations",1361,1084,165.988252596381,209.822782366453
"59308","30 to 49",4,"Healthcare Practioners and Technical","Legal",1300,1038,180.22374982227,123.916504146946
"59308","30 to 49",5,"Computer and Mathematical","Sales and Related",1288,730,171.424910675199,134.486988218192
"59308","over 50",1,"Management","Management",2565,4438,236.777004795652,312.488239778716
"59308","over 50",2,"Office and Administrative Support","Business Operations",1714,1581,192.722987731096,227.696179151078
"59308","over 50",3,"Educational Instruction and Library","Computer and Mathematical",1449,1533,197.835032287004,172.861216008681
"59308","over 50",4,"Business Operations","Sales and Related",1190,1422,174.163572540299,222.308119509837
"59308","over 50",5,"Sales and Related","Legal",830,1357,124.630854927662,170.822276064921
"59309","16 to 29",1,"Sales and Related","Sales and Related",1602,1496,311.854212734092,245.337216907668
"59309","16 to 29",2,"Office and Administrative Support","Computer and Mathematical",1460,1349,274.738512043725,227.161506422193
"59309","16 to 29",3,"Educational Instruction and Library","Food Preparation and Serving Related",870,1059,141.573479154819,203.353264050519
"59309","16 to 29",4,"Food Preparation and Serving Related","Transportation and Material Moving",849,782,145.934403072065,155.0640190373
"59309","16 to 29",5,"Healthcare Practioners and Technical","Office and Administrative Support",741,677,178.27128203948,148.45420169197
"59309","30 to 49",1,"Office and Administrative Support","Computer and Mathematical",1774,3490,227.288803067815,325.68282116194
"59309","30 to 49",2,"Management","Management",1697,3101,221.653445721017,377.281393657307
"59309","30 to 49",3,"Business Operations","Business Operations",1603,1544,223.399306176183,289.270461679031
"59309","30 to 49",4,"Educational Instruction and Library","Sales and Related",1389,1159,190.626073767468,179.81712932866
"59309","30 to 49",5,"Healthcare Practioners and Technical","Construction and Extraction",1266,1061,179.98166573293,238.796566139465
"59309","over 50",1,"Office and Administrative Support","Management",1953,2786,216.072094449977,202.810625954362
"59309","over 50",2,"Management","Computer and Mathematical",1797,1881,218.949651746697,272.158226037722
"59309","over 50",3,"Educational Instruction and Library","Transportation and Material Moving",1288,1038,145.528175966031,176.740487721405
"59309","over 50",4,"Sales and Related","Sales and Related",1187,1022,211.634827001607,151.233098229191
"59309","over 50",5,"Healthcare Practioners and Technical","Office and Administrative Support",821,802,147.875116229878,154.836688158847
