"","X","Accees.to.Care","Education","Employment.Access","Labor.Force.Participation","Population.Density","Walkability","Spatial.Segregation","Income.Inequality","Affordability","Environmental","Food.Access","Townsend","Incarceration","Mobility","geoid"
"103",103,0.963,0.818,0.613,0.735,0.21,0.902,0.762,0.465,0.643,0.215,1,0.631,0.960754646383594,0.452,51013103504
"104",104,0.822,0.685,0.32,0.801,0.283,0.62,0.869,0.385,0.685,0.427,0.958,0.666,1.02643983243016,0.228,51510200109
"105",105,0.969,0.86,0.568,0.792,0.045,0.727,0.669,0.463,0.601,0.531,1,0.752,1.02436424649515,0.521,51059480205
"106",106,0.887,0.601,0.4,0.766,0.358,0.661,0.856,0.36,0.696,0.513,0.993,0.549,0.971077682894664,0.211,51013102200
"107",107,0.938,0.706,0.182,0.448,0.204,0.824,0.694,0.167,0.611,0.66,0.88,0.698,0.912706584195278,0.556,51540000202
"108",108,0.916,0.69,0.153,0.646,0.09,0.792,0.669,0.297,0.548,0.644,0.905,0.697,0.948787233902383,0.151,51540000401
"109",109,0.92,0.713,0.06,0.63,0.025,0.719,0.644,0.295,0.517,0.698,0.992,0.728,0.954631123275667,0.208,51680000205
"110",110,0.936,0.631,0.102,0.626,0.113,0.622,0.387,0.376,0.601,0.617,0.999,0.552,0.831580264035441,0.266,51710005800
"111",111,0.969,0.72,0.061,0.746,0.118,0.289,0.706,0.563,0.506,0.722,0.994,0.756,0.994108325015384,0.472,51199050207
"112",112,0.855,0.642,0.255,0.536,0.103,0.855,0.45,0.336,0.664,0.513,1,0.504,0.84897602600527,0.139,51760020700
"113",113,0.89,0.673,0.082,0.524,0.158,0.76,0.5,0.28,0.59,0.555,0.646,0.66,0.853383758317227,0.329,51710001600
"114",114,0.866,0.608,0.116,0.76,0.072,0.73,0.781,0.474,0.58,0.636,0.986,0.631,0.935786080350582,0.41,51700032126
"115",115,0.946,0.637,0.165,0.534,0.045,0.839,0.338,0.322,0.611,0.415,0.898,0.459,0.729676815803121,0.264,51740211100
"116",116,0.952,0.739,0.092,0.705,0.034,0.476,0.631,0.438,0.464,0.6,0.962,0.799,0.978169412716042,0.163,51550020910
"117",117,0.921,0.646,0.057,0.57,0.034,0.57,0.525,0.276,0.632,0.517,0.555,0.56,0.762609078716733,0.509,51730811300
"118",118,0.901,0.622,0.104,0.834,0.189,0.442,0.781,0.553,0.675,0.607,0.985,0.634,0.966706023854587,0.332,51153900203
"119",119,0.955,0.829,0.294,0.634,0.105,0.815,0.575,0.248,0.517,0.443,1,0.764,0.948860588624507,0.419,51710004002
"120",120,0.831,0.649,0.103,0.73,0.012,0.555,0.8,0.338,0.538,0.509,0.981,0.627,0.935223891479112,0.184,51550020500
"121",121,0.848,0.618,0.141,0.739,0.15,0.771,0.881,0.336,0.675,0.61,0.983,0.595,0.972752918672896,0.129,51059421500
"122",122,0.963,0.688,0.161,0.629,0.067,0.627,0.537,0.402,0.506,0.554,0.663,0.689,0.866297453321341,0.275,51710006400
"123",123,0.962,0.834,0.422,0.853,0.226,0.929,0.604,0.503,0.558,0.336,0.998,0.78,1.00282118407296,0.474,51510201602
"124",124,0.904,0.671,0.036,0.74,0.06,0.568,0.781,0.401,0.548,0.665,0.455,0.756,0.927423417661946,0.444,51700032123
"125",125,0.836,0.582,0.095,0.784,0.11,0.553,0.731,0.482,0.643,0.619,0.944,0.72,0.974329237036357,0.16,51153900602
"126",126,0.862,0.637,0.055,0.756,0.136,0.657,0.7,0.334,0.58,0.651,0.906,0.514,0.893211093782062,0.42,51710006501
