"","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Mobility","geoid","Incarceration"
"1819",0.972,0.742,0.061,0.667,0.025,0.349,0.652,0.559,0.397,0.739,0.986,0.896,0.834,"51550021505",0.978769078313773
"1820",0.979,0.856,0.112,0.628,0.012,0.27,0.589,0.43,0.287,0.634,0.951,0.929,0.91,"51059480402",0.978273980812345
"1821",0.983,0.825,0.119,0.752,0.071,0.45,0.532,0.555,0.414,0.7,0.972,0.904,0.872,"51087200142",0.998057862081552
"1822",0.991,0.83,0.131,0.755,0.056,0.441,0.696,0.624,0.456,0.636,0.993,0.916,0.91,"51107611019",1.01950569063869
"1823",0.97,0.74,0.009,0.414,0.003,0.247,0.133,0.393,0.301,0.781,0.587,0.957,0.912,"51067020103",0.833661746884912
"1824",0.96,0.734,0.06,0.747,0.082,0.476,0.886,0.631,0.489,0.693,0.981,0.883,0.913,"51153901230",1.02151113976334
"1825",0.98,0.701,0.021,0.6,0.001,0.317,0.152,0.511,0.548,0.747,0.763,0.923,0.855,"51187020200",0.850262229158173
"1826",0.98,0.792,0.034,0.723,0.002,0.277,0.437,0.424,0.329,0.722,0.889,0.935,0.883,"51107610300",0.942565108586389
"1827",0.929,0.743,0.017,0.653,0.001,0.175,0.291,0.227,0.391,0.788,0.688,0.854,0.935,"51003010401",0.861884991873529
"1828",0.904,0.698,0.012,0.645,0.001,0.221,0.418,0.524,0.433,0.793,0.696,0.938,0.978,"51073100101",0.918989564110694
"1829",0.953,0.666,0.012,0.64,0.001,0.171,0.488,0.354,0.47,0.782,0.533,0.864,0.921,"51053840601",0.856168471478485
"1830",0.979,0.857,0.115,0.73,0.03,0.424,0.69,0.455,0.298,0.701,0.975,0.888,0.867,"51087200147",1.016268164511
"1831",0.963,0.737,0.019,0.645,0.001,0.173,0.487,0.542,0.287,0.828,0.781,0.926,0.768,"51550021200",0.956057342256094
