blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""517700012003""","""Roanoke, VA""",1.00,1307.00,728.00,188.88,44,52,42,24,30,23,20,22,20,6.08,23.43,1.40,1,1,16950,15043,17824,3,3,3,9996,8720,10535,7606,6594,8022,2349,2084,2470,41,42,43,43,44,46,8.1,9.4,7.70,3.85,17576,43,39596,88,3,325,686,1011,1455,622,47,53
"""510594219002""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1464.00,281.00,3239.17,43,52,71,30,37,51,13,15,20,8.72,0.76,1.72,2,1,18655,16847,17216,3,3,3,12392,11122,10536,9791,8772,8134,2586,2335,2386,15,15,16,8,8,9,8.0,7.2,7.91,0.09,20645,43,25181,89,35,35,1598,2289,,2289,0,100
"""510030113021""","""Charlottesville, VA""",1.00,2364.00,1080.00,351.22,42,49,46,24,30,27,18,19,20,7.28,22.37,1.46,1,1,17016,14811,17596,5,4,5,10818,9280,10541,8312,7096,7946,2359,2052,2438,148,132,157,201,180,214,9.0,4.1,6.54,3.07,10722,3,12959,88,12,162,1014,1190,988,1217,12,88
"""517100056022""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1057.00,440.00,117.04,40,47,43,22,27,24,18,20,20,6.81,25.59,1.53,1,1,16959,15085,16648,10,10,10,10822,9531,10543,8304,7274,8063,2350,2090,2307,168,167,173,160,158,164,8.1,8.8,11.41,3.76,26020,51,19444,86,4,454,527,1069,1277,929,40,60
"""515500200031""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1935.00,607.00,137.29,38,44,41,19,24,21,18,20,20,7.08,31.30,1.53,1,1,17680,15604,17365,5,5,5,10836,9568,10548,8310,7331,8062,2450,2162,2406,76,75,79,72,71,76,8.4,8.6,8.41,4.42,24015,35,29037,88,7,243,749,944,1096,874,32,68
"""510594223024""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1815.00,748.00,128.76,39,47,64,26,32,44,13,14,20,7.65,44.46,1.67,1,1,19056,15907,17452,15,13,14,12268,10692,10549,9551,8421,8060,2642,2205,2418,75,66,70,42,36,38,7.8,8.5,7.52,5.81,35843,2,46305,90,12,240,864,1988,2045,1805,76,24
"""518100438001""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,665.00,464.00,100.03,53,63,57,34,43,38,18,20,20,4.44,20.61,1.51,1,1,17533,15085,17225,8,7,8,10834,9526,10553,8237,7284,7993,2430,2090,2387,167,152,173,159,144,165,8.6,7.1,88.77,4.64,11186,17,13224,86,3,409,484,1687,2196,1258,46,54
"""517100064002""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,2127.00,727.00,184.61,40,47,43,22,27,24,18,20,20,7.19,28.30,1.51,1,1,17331,15366,17019,12,12,13,10835,9600,10553,8225,7269,7983,2402,2129,2358,208,202,212,198,192,202,7.9,8.2,5.82,3.94,22540,46,34128,89,8,173,838,1061,1404,866,36,64
"""511539014032""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,2414.00,911.00,936.19,30,36,48,17,21,29,13,15,20,8.25,8.02,1.67,1,1,19465,16635,17811,5,4,5,12373,10960,10561,9542,8557,7975,2698,2306,2468,132,97,117,25,19,23,8.6,5.9,6.38,0.97,20065,2,28299,90,15,109,722,1293,,1293,33,67
"""515102006003""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1204.00,263.00,43.58,,,,,,,13,14,20,10.63,64.16,1.69,1,2,18357,15218,16778,12,10,11,12262,10667,10563,9659,8507,8185,2545,2110,2325,58,51,52,38,33,35,7.3,9.3,7.17,6.04,53247,18,63746,90,11,250,978,,,,86,14
"""516500103062""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1685.00,746.00,466.37,38,45,41,19,24,21,18,21,20,7.27,11.63,1.52,1,1,18547,16436,18220,3,3,3,10876,9675,10568,8264,7357,7998,2570,2278,2525,41,41,45,39,39,43,8.5,7.1,8.50,1.60,13002,23,15955,87,11,155,1126,944,,944,18,82
"""518100448081""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,1986.00,1058.00,135.00,46,55,49,27,34,30,18,20,20,6.68,52.32,1.51,1,1,18473,15695,18150,3,2,3,10853,9597,10572,8224,7373,7985,2560,2175,2515,69,49,72,65,47,68,8.6,8.5,8.88,7.84,18799,8,20931,87,7,211,1047,1340,1509,1207,44,56
"""511210206003""","""Blacksburg-Christiansburg-Radford, VA""",1.00,1708.00,641.00,219.89,50,58,43,28,35,24,22,23,20,6.59,19.22,1.41,1,1,15932,13974,16833,8,8,8,10010,8572,10577,7660,6504,8099,2208,1937,2333,142,131,146,159,147,163,8.6,4.6,9.50,2.92,10051,23,13821,88,7,288,626,1056,,1056,22,78
"""517600607003""","""Richmond, VA""",1.00,1209.00,515.00,177.16,33,39,36,15,18,16,18,20,20,5.72,16.62,1.50,1,1,17972,16261,17778,8,8,8,10820,9605,10578,8184,7206,7965,2490,2253,2464,146,146,149,124,124,127,7.4,9.2,4.29,2.91,17085,62,28374,87,13,141,899,738,1055,619,27,73
"""510872001073""","""Richmond, VA""",1.00,3484.00,1375.00,658.80,52,62,57,33,42,37,18,20,20,8.10,16.90,1.50,1,1,19274,16942,19084,2,2,2,10840,9695,10581,8158,7338,7925,2671,2348,2645,11,10,12,10,8,10,8.3,8.9,7.53,2.09,14203,28,15019,85,10,107,1013,1672,2858,1208,28,72
"""510594616014""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1100.00,402.00,101.82,42,51,69,29,36,50,13,14,20,8.31,32.81,1.68,1,1,19075,15964,17544,14,13,13,12293,10693,10582,9579,8419,8086,2644,2213,2431,69,61,65,38,34,36,7.3,9.3,5.48,3.95,36839,11,72549,91,9,214,925,2226,2220,2264,86,14
"""518100410022""","""Virginia Beach-Norfolk-Newport News, VA-NC""",1.00,994.00,429.00,224.21,36,42,39,18,22,19,18,20,20,7.29,13.94,1.51,1,1,18120,15387,17838,5,4,5,10824,9408,10585,8213,7188,8011,2511,2132,2472,100,88,102,95,83,97,8.1,9.3,4.75,1.91,26291,17,41240,88,5,274,706,868,963,696,64,36
