"","CT2","FIPS","Geographic Area Name","Tpop","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Incarceration","Mobility","County","LifeExpectancy"
"89","51760071004",0.905,"Census Tract 710.04, Richmond city, Virginia",0.129,0.994,0.33,0.126,0.409,0.039,0.595,0.581,0.455,0.711,0.679,0.996,0.496,0.846,0.859,"Richmond city",0.395
"90","51710001100",0.845,"Census Tract 11, Norfolk city, Virginia",0.136,0.931,0.434,0.056,0.866,0.081,0.526,0.861,0.653,0.658,0.582,0.818,0.496,0.839,0.536,"Norfolk city",0.551
"91","51013101701",0.014,"Census Tract 1017.01, Arlington County, Virginia",0.31,0.976,0.726,0.789,0.836,0.532,0.858,0.866,0.728,0.697,0.474,0.981,0.498,1,0.678,NA,0.711
"92","51710005901",0.845,"Census Tract 59.01, Norfolk city, Virginia",0.346,0.898,0.34,0.108,0.671,0.081,0.774,0.483,0.573,0.645,0.709,0.905,0.499,0.602,0.666,"Norfolk city",0.382
"93","51059450702",0.069,"Census Tract 4507.02, Fairfax County, Virginia",0.305,0.822,0.255,0.239,0.741,0.083,0.674,0.797,0.625,0.697,0.622,0.891,0.5,0.978,0.916,"Fairfax County",0.649
"94","51680001900",0.809,"Census Tract 19, Lynchburg city, Virginia",0.307,0.893,0.349,0.04,0.596,0.012,0.563,0.766,0.662,0.671,0.76,0.881,0.5,0.581,0.87,"Lynchburg city",0.338
"95","51710004400",0.845,"Census Tract 44, Norfolk city, Virginia",0.155,0.969,0.462,0.165,0.726,0.075,0.5,0.519,0.614,0.605,0.676,0.758,0.502,0.666,0.863,"Norfolk city",0.257
"96","51710005500",0.845,"Census Tract 55, Norfolk city, Virginia",0.173,0.968,0.377,0.079,0.737,0.071,0.668,0.85,0.688,0.632,0.728,0.995,0.502,0.694,0.831,"Norfolk city",0.432
"97","51059480203",0.069,"Census Tract 4802.03, Fairfax County, Virginia",0.167,0.958,0.745,0.524,0.64,0.19,0.384,0.834,0.612,0.671,0.655,0.984,0.502,1,0.672,"Fairfax County",0.774
"98","51177020313",0.21,"Census Tract 203.13, Spotsylvania County, Virginia",0.008,1,0.462,0.04,0.821,0.001,0,0.973,0.222,1,0.774,0.945,0.508,0.942,0,"Spotsylvania County",0.595
"99","51710004500",0.845,"Census Tract 45, Norfolk city, Virginia",0.104,0.919,0.443,0.159,0.674,0.044,0.358,0.613,0.544,0.684,0.684,0.732,0.508,0.683,0.952,"Norfolk city",0.382
"100","51510200409",0.607,"Census Tract 2004.09, Alexandria city, Virginia",0.358,0.865,0.538,0.278,0.821,0.22,0.932,0.744,0.659,0.776,0.539,0.972,0.512,0.978,0.776,"Alexandria city",0.672
